SAMPLE ID,Sampling Date,Round,SAMPLE TYPE,TCM,BDCM,DBCM,TBM,DCIM,BCIM,DBIM,CDIM,BDIM,TIM,CP,"1,1-DCP","1,1,1-TCP",CAN,TCAN,DCAN,BAN,BCAN,IAN,DBAN,TCNM,DCAM,BCAM,TCAM,DBAM,MCAA,MBAA,DCAA,BCAA,TCAA,DBAA,BDCAA,CDBAA,TBAA,IAA,CIAA
2-1FEB24,2/27/2024,1,DWDS,4.5394,4.3805,1.8173,1.1113,1.3196,2.8042,0.0689,ND,0.0352,0.0107,0.1575,0.178,0.7342,0.0328,0.0112,0.5875,0.0209,0.2667,0.0095,1.0706,0.0108,0.1834,0.1561,0.0574,0.0642,1.8843,0.4374,9.265,0.7018,5.8702,3.1323,2.0737,1.2084,0.3906,0.0982,1.1258
2-2FEB24,2/27/2024,1,DWDS,3.7527,3.7556,1.6301,0.002,1.449,2.6163,ND,ND,ND,0.0148,0.1585,0.3057,0.583,0.0259,0.0092,0.5149,0.0328,0.2455,0.0074,1.1332,0.0084,0.1599,0.1675,0.0462,0.0758,1.7714,0.5345,12.0098,0.7963,7.1714,3.7091,2.2499,0.6622,0.5727,0.0831,2.7969
2-3FEB24,2/27/2024,1,DWDS,3.5499,3.4872,1.5426,ND,1.3476,2.335,ND,ND,ND,0.0112,0.2674,0.3113,0.4788,0.0198,0.0093,0.4369,0.019,0.2109,0.008,0.8167,0.0083,0.1655,0.1366,0.0381,0.0586,1.0667,0.577,13.3782,0.8832,7.8297,4.281,3.4759,0.7498,0.5839,0.5283,3.233
2-4FEB24,2/27/2024,1,DWDS,3.7737,3.8411,1.5869,ND,1.4121,2.2759,ND,ND,0.0657,0.0062,0.1971,0.2698,0.5318,0.0206,0.01,0.4772,0.0189,0.2108,0.0091,0.7729,0.009,0.1532,0.1629,0.0417,0.0913,1.3071,0.3574,7.1837,0.6747,5.0262,2.7711,1.8139,0.7326,0.3479,0.423,2.2674
2-5FEB24,2/27/2024,1,POE,3.4449,3.5148,1.4576,0.3032,1.1972,2.2514,ND,ND,0.0564,0.0104,0.2364,0.1852,0.4656,0.0186,0.0104,0.4216,0.0285,0.1932,0.0067,0.9497,0.0073,0.1582,0.1321,0.0402,0.0576,1.1869,0.342,5.6121,0.5574,3.8549,2.182,1.5954,0.754,0.3009,0.411,0.5131
2-6FEB24,2/27/2024,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1FEB24,2/28/2024,1,DWDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-2FEB24,2/28/2024,1,DWDS,4.5352,1.5892,0.4506,0.8927,1.6032,0.152,0.1027,0.0581,0.0643,0.0398,0.787,0.7953,0.0839,0.0784,0.0252,0.2022,0.0504,0.069,0.0577,0.3207,0.0374,0.8118,0.1935,0.063,0.0725,6.5804,0.2022,16.8054,ND,1.4428,1.5822,0.3697,0.4335,0.376,0.2918,0.0911
3-3FEB24,2/28/2024,1,DWDS,4.4573,1.6068,0.4477,0.9369,1.7191,0.4296,0.0459,0.025,0.0274,0.0169,0.702,0.7973,0.283,0.0367,0.0076,0.2305,0.0361,0.0559,0.0348,0.4532,0.0212,0.107,0.1303,0.032,0.0416,9.7337,0.1668,16.7189,ND,1.2246,1.6306,0.3684,0.5175,0.4921,0.1711,0.1193
3-4FEB24,2/28/2024,1,DWDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-5FEB24,2/28/2024,1,POE,3.2947,1.4793,0.3783,ND,1.112,1.0783,0.0884,ND,0.016,ND,0.5344,0.547,0.5991,0.0224,0.0058,0.1953,0.0213,0.0483,0.018,0.1043,0.0263,ND,0.0769,0.0169,0.0266,5.4552,0.1349,9.1474,ND,1.1742,1.2813,0.3736,0.4581,0.3089,ND,0.0984
3-6FEB24,2/28/2024,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1JAN24,1/31/2024,1,DWDS,1.4219,0.5393,0.3339,ND,0.1444,0.9498,0.0768,0.0494,0.2498,0.0887,1.6661,0.5573,0.0842,0.1242,0.0204,0.1304,0.055,0.0861,0.8966,0.2899,0.0297,1.2475,0.3735,0.0644,0.2248,9.5836,0.1429,7.4757,0.3828,0.3993,0.9908,0.1747,0.1047,0.4447,ND,0.4219
4-2JAN24,1/31/2024,1,DWDS,1.0126,0.5111,0.3019,ND,0.192,0.9391,0.0515,0.0257,0.0385,0.0369,0.6471,0.4927,0.0821,0.0386,0.0098,0.089,0.0411,0.0662,0.4866,0.2607,0.0203,0.2625,0.1667,0.0078,0.0623,1.5705,0.4313,10.321,0.6933,0.2489,2.0064,0.2004,0.1319,0.6211,ND,0.7282
4-3JAN24,1/31/2024,1,DWDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.362,0.2463,17.6491,0.491,0.2966,1.5995,0.2717,0.1365,0.6982,ND,0.423
4-4JAN24,1/31/2024,1,DWDS,1.1591,0.5549,0.391,1.4609,0.2058,0.104,0.0715,0.0179,0.0747,0.1477,1.372,0.5329,0.0413,0.0887,0.0116,0.114,0.0549,0.0727,1.2392,0.3024,0.0227,0.7952,0.3671,0.0072,0.0306,2.0778,0.3393,9.3864,0.6472,0.288,1.9404,0.2412,0.0932,0.6632,0.1414,0.7902
4-5JAN24,1/31/2024,1,POE,0.9404,0.4959,0.0439,ND,0.1449,1.303,0.0499,0.0162,0.0249,0.0164,0.5338,0.4502,0.0943,0.0314,0.0086,0.0792,0.0394,0.0606,0.4028,0.2463,0.0162,0.3003,0.1818,0.0084,0.0598,0.7804,0.2493,6.8423,0.5022,0.3199,1.4491,0.2804,0.1563,0.597,NQ,0.431
4-6JAN24,1/31/2024,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-1JAN24,1/24/2024,1,DWDS,16.4789,9.0379,3.3203,0.4169,0.2684,0.4947,0.0841,0.0543,1.0509,0.0518,0.0294,0.1754,0.0502,0.0172,0.0345,0.5152,0.0686,0.4706,0.0405,1.4411,0.0634,3.8683,ND,0.8587,NQ,2.35,0.4454,18.1982,0.9186,4.4465,3.9141,0.5988,0.429,0.3262,0.0359,0.101
5-2JAN24,1/24/2024,1,DWDS,17.7276,9.8034,3.9021,0.4518,ND,0.3439,0.3329,ND,0.7237,ND,ND,0.1675,0.0138,ND,ND,0.6215,0.0347,0.5607,ND,1.7299,0.0199,3.1689,ND,0.3094,NQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-3JAN24,1/24/2024,1,DWDS,21.3519,10.1412,3.4604,0.3815,0.2729,0.476,ND,ND,0.9083,ND,0.064,0.1248,0.0342,ND,0.008,0.3267,0.0291,0.3002,ND,1.1112,0.0559,4.5255,ND,0.5846,NQ,3.1487,0.289,18.8014,0.8139,4.896,3.7054,0.6158,0.3682,0.2895,0.2051,0.087
5-4JAN24,1/24/2024,1,DWDS,16.8477,9.2038,3.6503,0.4282,0.2168,0.1427,0.3467,ND,0.6176,ND,0.0516,0.1179,0.0097,ND,ND,0.6532,0.0265,0.379,ND,1.9756,0.0188,2.6976,ND,0.2772,NQ,3.8764,0.3401,16.3688,0.9126,3.8215,3.6974,0.6292,0.3965,0.3124,ND,0.1915
5-5JAN24,1/24/2024,1,POE,23.0858,12.118,4.6096,0.543,0.2768,0.1289,0.3081,ND,0.6786,ND,0.0317,0.1529,0.0153,ND,ND,0.8494,0.0306,0.8291,ND,2.2891,0.0193,2.463,ND,0.5172,NQ,2.973,0.4388,16.8619,0.9987,4.2752,4.0746,0.6829,0.4518,0.3066,0.4038,0.1055
5-6JAN24,1/24/2024,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-1FEB24,2/26/2024,1,DWDS,27.1632,5.5322,1.1483,ND,0.9349,0.4604,0.0515,0.0765,0.0219,0.235,0.2195,0.108,0.1196,0.0662,0.0147,0.2499,0.029,0.1481,0.0315,0.7104,0.5599,2.0451,0.3165,0.1521,0.3923,1.6201,0.2496,18.1622,0.1497,15.0258,2.897,1.2871,0.265,0.8328,0.2199,0.65
6-2FEB24,2/26/2024,1,DWDS,5.1517,1.8002,0.5036,1.8168,1.4417,2.3295,0.0717,0.0181,0.0114,0.0224,0.5748,1.971,1.5811,0.0664,0.0129,0.4823,0.0177,0.173,0.0675,0.732,0.1296,0.4321,0.1378,0.0658,0.079,1.1103,0.2225,7.2872,ND,3.5994,1.5566,0.9743,0.258,0.5784,ND,0.5778
